arch,app,contrast,metric,mean_gfgrr,mean_comparator,mean_difference_gf_minus_comparator,wilcoxon_p_raw,holm_p_3metric_family
x86_64,sleep,gfgrr_vs_dguard,throughput_s,60538.6875,42382.0625,18156.625,0.0078125,0.0234375
x86_64,sleep,gfgrr_vs_dguard,p99_wait_ms,17.735212875,78.53696975,-60.801756874999995,0.0078125,0.0234375
x86_64,sleep,gfgrr_vs_dguard,jain,0.979182625,0.961818125,0.017364500000000005,0.546875,0.546875
x86_64,sleep,gfgrr_vs_agemwis,throughput_s,60538.6875,60940.6875,-402.0,0.7421875,0.7421875
x86_64,sleep,gfgrr_vs_agemwis,p99_wait_ms,17.735212875,204.791476125,-187.05626325,0.0078125,0.0234375
x86_64,sleep,gfgrr_vs_agemwis,jain,0.979182625,0.953526375,0.025656249999999978,0.0078125,0.0234375
x86_64,ledger,gfgrr_vs_dguard,throughput_s,166039.1875,166602.6875,-563.5,0.25,0.25
x86_64,ledger,gfgrr_vs_dguard,p99_wait_ms,5.951243375,13.932189875,-7.9809465,0.0078125,0.0234375
x86_64,ledger,gfgrr_vs_dguard,jain,0.996901875,0.962890625,0.03401124999999999,0.0078125,0.0234375
x86_64,ledger,gfgrr_vs_agemwis,throughput_s,166039.1875,164640.625,1398.5625,0.3125,0.3125
x86_64,ledger,gfgrr_vs_agemwis,p99_wait_ms,5.951243375,7.673215625,-1.72197225,0.0078125,0.0234375
x86_64,ledger,gfgrr_vs_agemwis,jain,0.996901875,0.9973492500000001,-0.00044737499999999986,0.0078125,0.0234375
x86_64,kv,gfgrr_vs_dguard,throughput_s,133129.1875,129002.0625,4127.125,0.078125,0.078125
x86_64,kv,gfgrr_vs_dguard,p99_wait_ms,7.24936825,18.985020249999998,-11.735652,0.0078125,0.0234375
x86_64,kv,gfgrr_vs_dguard,jain,0.9972835,0.945984625,0.05129887499999998,0.0078125,0.0234375
x86_64,kv,gfgrr_vs_agemwis,throughput_s,133129.1875,132802.6875,326.5,0.546875,1.0
x86_64,kv,gfgrr_vs_agemwis,p99_wait_ms,7.24936825,9.34526675,-2.0958985,0.0078125,0.0234375
x86_64,kv,gfgrr_vs_agemwis,jain,0.9972835,0.9973771250000001,-9.362499999999996e-05,0.640625,1.0
arm64,sleep,gfgrr_vs_dguard,throughput_s,115919.1875,78712.75,37206.4375,0.0078125,0.0234375
arm64,sleep,gfgrr_vs_dguard,p99_wait_ms,17.046033,39.052968375,-22.006935374999998,0.0078125,0.0234375
arm64,sleep,gfgrr_vs_dguard,jain,0.99810825,0.9887412499999999,0.009366999999999986,0.0078125,0.0234375
arm64,sleep,gfgrr_vs_agemwis,throughput_s,115919.1875,124348.25,-8429.0625,0.0078125,0.0234375
arm64,sleep,gfgrr_vs_agemwis,p99_wait_ms,17.046033,26.043184375000003,-8.997151375,0.0234375,0.0234375
arm64,sleep,gfgrr_vs_agemwis,jain,0.99810825,0.830880125,0.16722812499999998,0.0078125,0.0234375
arm64,ledger,gfgrr_vs_dguard,throughput_s,177665.4375,275775.4375,-98110.0,0.0078125,0.0234375
arm64,ledger,gfgrr_vs_dguard,p99_wait_ms,5.497100124999999,9.129950875,-3.63285075,0.0078125,0.0234375
arm64,ledger,gfgrr_vs_dguard,jain,0.996794,0.884020375,0.11277362499999997,0.0078125,0.0234375
arm64,ledger,gfgrr_vs_agemwis,throughput_s,177665.4375,173640.625,4024.8125,0.109375,0.21875
arm64,ledger,gfgrr_vs_agemwis,p99_wait_ms,5.497100124999999,7.075674,-1.578573875,0.0078125,0.0234375
arm64,ledger,gfgrr_vs_agemwis,jain,0.996794,0.996972,-0.00017800000000001148,0.640625,0.640625
arm64,kv,gfgrr_vs_dguard,throughput_s,176108.875,261439.3125,-85330.4375,0.0078125,0.0234375
arm64,kv,gfgrr_vs_dguard,p99_wait_ms,5.546810499999999,9.153853875,-3.607043375,0.0078125,0.0234375
arm64,kv,gfgrr_vs_dguard,jain,0.996961,0.90958275,0.08737825000000002,0.015625,0.0234375
arm64,kv,gfgrr_vs_agemwis,throughput_s,176108.875,174109.6875,1999.1875,0.1953125,0.390625
arm64,kv,gfgrr_vs_agemwis,p99_wait_ms,5.546810499999999,7.262988375,-1.716177875,0.0078125,0.0234375
arm64,kv,gfgrr_vs_agemwis,jain,0.996961,0.996504625,0.00045637500000000886,0.84375,0.84375
