arch,artifact,policy,N,workload,app,seed,measure_s,tick_us,sched_jitter_us,dispatch_jitter_us,meals,throughput_s,mean_wait_ms,p50_wait_ms,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,min_meals,max_meals,zero_workers,scheduler_ticks,guard_obligations,max_owed_age_ms
x86_64,result-ubuntu-24.04-N501-sleep-bursty,gfgrr,501,bursty,sleep,1,2.0,200,120,80,92574,46287.0,5.147,4.407812,12.137548,18.850783,47.824166,0.986476,149,231,0,1120,90184,38.764623
x86_64,result-ubuntu-24.04-N501-sleep-bursty,dguard,501,bursty,sleep,1,2.0,200,120,80,92120,46060.0,2.868491,1.565818,10.541711,19.091932,134.430227,0.994955,151,225,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,fifo,501,bursty,sleep,1,2.0,200,120,80,16200,8100.0,56.887138,55.727747,74.83923,82.613887,90.760232,0.99976,31,33,0,11318,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,waiter,501,bursty,sleep,1,2.0,200,120,80,142694,71347.0,1.203113,0.669534,3.947196,6.079102,14.656707,0.998887,258,306,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,agemwis,501,bursty,sleep,1,2.0,200,120,80,103287,51643.5,4.013668,3.715168,8.044727,10.325361,19.875619,0.99099,168,251,0,1301,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,gfgrr,501,bursty,sleep,2,2.0,200,120,80,102637,51318.5,4.067259,3.750634,8.322892,10.871001,23.593804,0.992046,168,258,0,1363,97938,18.162208
x86_64,result-ubuntu-24.04-N501-sleep-bursty,dguard,501,bursty,sleep,2,2.0,200,120,80,76263,38131.5,3.980293,2.104979,15.140197,29.111381,136.049393,0.970128,115,246,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,fifo,501,bursty,sleep,2,2.0,200,120,80,18787,9393.5,47.873051,47.687666,57.622969,60.419132,63.246049,0.9998,36,39,0,11641,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,waiter,501,bursty,sleep,2,2.0,200,120,80,142167,71083.5,1.24519,0.689531,4.112725,6.54032,20.32,0.999202,264,301,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,agemwis,501,bursty,sleep,2,2.0,200,120,80,108682,54341.0,3.533033,3.228709,7.185073,9.244311,18.146191,0.992951,177,270,0,1489,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,gfgrr,501,bursty,sleep,3,2.0,200,120,80,105370,52685.0,3.784558,3.493297,7.714341,9.848036,17.238204,0.993486,177,254,0,1459,99946,15.62171
x86_64,result-ubuntu-24.04-N501-sleep-bursty,dguard,501,bursty,sleep,3,2.0,200,120,80,84290,42145.0,3.366883,1.681391,12.971338,25.291385,129.811234,0.994736,141,216,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,fifo,501,bursty,sleep,3,2.0,200,120,80,18105,9052.5,49.466917,48.535637,61.738656,64.408684,67.701606,0.999756,35,37,0,11936,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,waiter,501,bursty,sleep,3,2.0,200,120,80,143937,71968.5,1.169704,0.646658,3.86486,5.963268,15.38361,0.999096,262,308,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,agemwis,501,bursty,sleep,3,2.0,200,120,80,109798,54899.0,3.402238,3.094824,6.983047,8.947287,16.172795,0.993516,182,262,0,1531,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,gfgrr,501,bursty,sleep,4,2.0,200,120,80,111232,55616.0,3.409267,3.117905,7.065623,9.115065,17.510728,0.995163,190,257,0,1614,104207,14.971374
x86_64,result-ubuntu-24.04-N501-sleep-bursty,dguard,501,bursty,sleep,4,2.0,200,120,80,86142,43071.0,3.396854,1.712058,13.058039,25.080337,206.339898,0.98158,128,234,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,fifo,501,bursty,sleep,4,2.0,200,120,80,19102,9551.0,46.877443,46.855723,55.597391,58.227945,61.617139,0.999794,37,39,0,11980,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,waiter,501,bursty,sleep,4,2.0,200,120,80,145416,72708.0,1.195168,0.665361,3.949737,6.101074,16.347224,0.999655,275,308,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,agemwis,501,bursty,sleep,4,2.0,200,120,80,109856,54928.0,3.521942,3.222311,7.145568,9.198036,19.610252,0.993549,184,258,0,1519,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,gfgrr,501,bursty,sleep,5,2.0,200,120,80,109100,54550.0,3.471953,3.178775,7.159548,9.174975,15.131521,0.994925,189,258,0,1638,102661,12.848949
x86_64,result-ubuntu-24.04-N501-sleep-bursty,dguard,501,bursty,sleep,5,2.0,200,120,80,92707,46353.5,2.929817,1.588729,10.730199,19.789562,318.101435,0.998469,157,206,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,fifo,501,bursty,sleep,5,2.0,200,120,80,18469,9234.5,48.543728,47.881338,58.617334,63.379098,66.255855,0.999746,36,38,0,12009,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,waiter,501,bursty,sleep,5,2.0,200,120,80,143426,71713.0,1.222028,0.693986,4.024172,6.23435,13.1323,0.999444,265,304,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,agemwis,501,bursty,sleep,5,2.0,200,120,80,106497,53248.5,3.702908,3.390004,7.541847,9.731776,17.995369,0.992729,180,261,0,1433,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,gfgrr,501,bursty,sleep,6,2.0,200,120,80,108010,54005.0,3.621685,3.323376,7.465237,9.556295,19.210058,0.993995,181,260,0,1574,102394,16.033192
x86_64,result-ubuntu-24.04-N501-sleep-bursty,dguard,501,bursty,sleep,6,2.0,200,120,80,85350,42675.0,3.418105,1.770598,13.21745,25.148412,251.993177,0.992437,136,230,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,fifo,501,bursty,sleep,6,2.0,200,120,80,18541,9270.5,48.339708,47.610092,57.609364,63.124712,67.686591,0.999784,36,38,0,11947,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,waiter,501,bursty,sleep,6,2.0,200,120,80,144658,72329.0,1.203916,0.677169,3.951232,6.15003,15.626638,0.999129,269,315,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,agemwis,501,bursty,sleep,6,2.0,200,120,80,111757,55878.5,3.290846,2.962044,6.827689,9.095014,25.289373,0.994452,189,266,0,1688,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,gfgrr,501,bursty,sleep,7,2.0,200,120,80,106832,53416.0,3.670083,3.389486,7.484212,9.522842,16.598199,0.993863,179,254,0,1503,100757,12.808082
x86_64,result-ubuntu-24.04-N501-sleep-bursty,dguard,501,bursty,sleep,7,2.0,200,120,80,90895,45447.5,3.040578,1.593527,11.122389,20.737502,274.051687,0.997378,155,205,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,fifo,501,bursty,sleep,7,2.0,200,120,80,18976,9488.0,47.037317,47.15408,54.543029,59.358674,62.591447,0.999802,36,39,0,11902,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,waiter,501,bursty,sleep,7,2.0,200,120,80,143822,71911.0,1.193,0.672852,3.896208,6.12367,16.003989,0.999206,259,307,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,agemwis,501,bursty,sleep,7,2.0,200,120,80,108828,54414.0,3.494698,3.199316,7.106758,9.045661,19.023602,0.993302,182,263,0,1519,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,gfgrr,501,bursty,sleep,8,2.0,200,120,80,108074,54037.0,3.508029,3.224598,7.183788,9.162395,18.176349,0.99469,183,252,0,1530,100945,14.989086
x86_64,result-ubuntu-24.04-N501-sleep-bursty,dguard,501,bursty,sleep,8,2.0,200,120,80,91621,45810.5,2.851847,1.461311,10.797066,20.1013,136.68303,0.99574,152,213,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,fifo,501,bursty,sleep,8,2.0,200,120,80,18530,9265.0,48.466134,48.40907,57.235986,60.214606,65.097238,0.999757,35,38,0,11953,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,waiter,501,bursty,sleep,8,2.0,200,120,80,143414,71707.0,1.170359,0.633822,3.849389,6.017659,17.522799,0.998985,255,310,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-sleep-bursty,agemwis,501,bursty,sleep,8,2.0,200,120,80,108951,54475.5,3.418436,3.09932,7.067856,9.081717,18.013375,0.993621,181,259,0,1645,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,gfgrr,501,bursty,kv,1,2.0,200,120,80,231579,115789.5,0.361861,0.302261,0.798698,1.231525,3.762716,0.998262,428,500,0,8686,140610,2.173579
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,dguard,501,bursty,kv,1,2.0,200,120,80,246812,123406.0,0.004121,0.000216,0.000384,0.118517,0.435318,0.998426,462,527,0,0,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,fifo,501,bursty,kv,1,2.0,200,120,80,182535,91267.5,1.551232,1.51813,2.335063,2.842211,4.184628,0.99801,344,401,0,12911,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,waiter,501,bursty,kv,1,2.0,200,120,80,247026,123513.0,0.086978,0.079896,0.134752,0.155405,0.723753,0.998429,463,527,0,0,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,agemwis,501,bursty,kv,1,2.0,200,120,80,234299,117149.5,0.314452,0.286392,0.589059,0.84361,3.11334,0.998324,437,506,0,9351,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,gfgrr,501,bursty,kv,2,2.0,200,120,80,231086,115543.0,0.340617,0.302924,0.674973,0.963988,3.088955,0.99941,443,497,0,8529,140044,1.672386
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,dguard,501,bursty,kv,2,2.0,200,120,80,245891,122945.5,0.004001,0.000216,0.000376,0.118057,0.659265,0.999549,471,512,0,0,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,fifo,501,bursty,kv,2,2.0,200,120,80,183910,91955.0,1.443808,1.412506,2.138612,2.585422,4.703541,0.999353,349,391,0,12923,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,waiter,501,bursty,kv,2,2.0,200,120,80,246069,123034.5,0.085944,0.076807,0.134824,0.155162,0.637946,0.99955,472,512,0,0,0,0.0
