arch,N,app,workload,policy,throughput_s,throughput_sd,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,zero_workers,mean_wait_ms
arm64,101,kv,bursty,agemwis,24723.625,358.6134757646457,0.271360875,0.34402275,1.299009375,0.998949625,0.0,0.165581375
arm64,101,kv,bursty,dguard,25171.5,385.6771410686108,0.000423,0.12458712499999999,0.62945075,0.9988941250000001,0.0,0.004194375
arm64,101,kv,bursty,fifo,24661.125,346.36507886497844,0.307705,0.40934712500000003,1.0510519999999999,0.998957125,0.0,0.176663625
arm64,101,kv,bursty,gfgrr,24720.6875,358.57166423583635,0.273705875,0.365963,1.34485975,0.9989475,0.0,0.16580075
arm64,101,kv,bursty,waiter,25184.1875,383.2542924463753,0.13293812500000002,0.1442185,0.715302875,0.9988885,0.0,0.08713825
arm64,101,kv,saturated,agemwis,159223.875,2382.5214846880167,1.198579875,1.596449875,3.598172125,0.993882375,0.0,0.63348525
arm64,101,kv,saturated,dguard,355356.3125,9226.271096855897,1.30743775,1.50623275,9.220427,0.998326625,0.0,0.15523775
arm64,101,kv,saturated,fifo,17932.375,21324.603832779638,15.42451275,16.219621,17.539715375,0.99998325,0.0,12.696193875
arm64,101,kv,saturated,gfgrr,157973.8125,3328.4075228843167,1.0834044999999999,1.5098355,4.783735625,0.992952625,0.0,0.638593375
arm64,101,kv,saturated,waiter,10198.0625,47.670324326865845,0.132899875,107.16370225,1324.216871375,0.25382225,0.0,7.128311125
arm64,101,ledger,bursty,agemwis,24709.375,257.1569490186323,0.268270125,0.337908625,0.840020625,0.999096625,0.0,0.16353425
arm64,101,ledger,bursty,dguard,25173.5,262.7018951478762,0.000381,0.124123375,0.48263212499999997,0.999078625,0.0,0.004119375
arm64,101,ledger,bursty,fifo,24641.5625,260.6126624349412,0.30376162500000004,0.40851525,1.30933775,0.99910125,0.0,0.1749445
arm64,101,ledger,bursty,gfgrr,24703.375,257.1990266033568,0.27143174999999997,0.3624345,1.221111375,0.9991025,0.0,0.164005875
arm64,101,ledger,bursty,waiter,25188.875,264.0865320847914,0.13258475,0.14376975,0.6112021249999999,0.9990755,0.0,0.08678037499999999
arm64,101,ledger,saturated,agemwis,169259.1875,1604.392340186776,1.142301625,1.52014375,3.50442225,0.993559375,0.0,0.59629575
arm64,101,ledger,saturated,dguard,410347.625,9139.67491118491,1.281435375,1.42879175,7.043589875,0.999496875,0.0,0.133091875
arm64,101,ledger,saturated,fifo,20139.375,16882.01209392073,12.72715425,14.516025375,16.439500250000002,0.99998875,0.0,9.373105625
arm64,101,ledger,saturated,gfgrr,167985.4375,3461.285768916971,1.0279031250000001,1.420710625,4.333280125,0.9924824999999999,0.0,0.600967625
arm64,101,ledger,saturated,waiter,10246.0,38.859637524962,0.13268225,101.727619,1417.183369375,0.207765625,0.0,7.06035775
arm64,101,sleep,bursty,agemwis,15805.4375,104.23922948816214,2.756573125,3.9317008749999998,8.091328625,0.99932425,0.0,0.8512075
arm64,101,sleep,bursty,dguard,15979.5,108.71785239127675,2.573390375,3.767840125,8.874199125,0.999303375,0.0,0.704093625
arm64,101,sleep,bursty,fifo,4441.6875,67.57585024040971,22.93705025,25.600343125,28.85956325,0.99973725,0.0,17.171136125
arm64,101,sleep,bursty,gfgrr,15784.1875,107.32425418196163,2.752148625,3.920879125,8.47479875,0.999314,0.0,0.8582753750000001
arm64,101,sleep,bursty,waiter,15619.875,106.098589596119,3.246949375,5.151124125,11.793091,0.99926,0.0,0.922043125
arm64,101,sleep,saturated,agemwis,27952.75,98.58390190231712,1.979835375,55.583517375,421.876494625,0.943601375,0.0,1.998223
arm64,101,sleep,saturated,dguard,23759.75,110.45199345028983,10.616820624999999,16.76233475,45.029476375,0.998339,0.0,2.5099255
arm64,101,sleep,saturated,fifo,848.625,487.51459685106573,152.428628125,155.260101125,157.71584025,0.99894275,0.0,138.03106875
arm64,101,sleep,saturated,gfgrr,25870.5,93.34766046498142,11.126068125,19.477839125,55.183317,0.997794625,0.0,2.28144925
arm64,101,sleep,saturated,waiter,581.0,5.1269595556932455,458.93891,1643.130812375,1976.191271125,0.152148,14.875,75.53128025
arm64,501,kv,bursty,agemwis,118333.25,1583.7672763743672,0.55412675,0.7507885,2.272936125,0.998821875,0.0,0.303946625
arm64,501,kv,bursty,dguard,124721.5,1834.5581795859484,0.000384,0.11794,0.796607,0.99885975,0.0,0.004054625
arm64,501,kv,bursty,fifo,91925.0,345.98348432919477,2.23778375,2.64535925,4.8947952500000005,0.999089,0.0,1.52579625
arm64,501,kv,bursty,gfgrr,117617.1875,1348.0995601613183,0.641896125,0.96623875,2.9761025,0.99878075,0.0,0.32874025
arm64,501,kv,bursty,waiter,124810.625,1838.7487933374698,0.13497375,0.155873875,0.67148225,0.998858875,0.0,0.086224625
arm64,501,kv,saturated,agemwis,174109.6875,2643.943671562017,5.241014125,7.262988375,19.914330375,0.996504625,0.0,2.8767665
arm64,501,kv,saturated,dguard,261439.3125,5073.679553324328,5.133441375,9.153853875,36.873196875,0.90958275,0.0,1.260417
arm64,501,kv,saturated,fifo,9344.625,4918.279989342965,72.84236812500001,75.415142125,76.269777,0.9998294999999999,0.0,66.021534625
arm64,501,kv,saturated,gfgrr,176108.875,2372.863095051451,3.2962461249999997,5.5468105,27.351050625,0.996961,0.0,2.8441787499999998
arm64,501,kv,saturated,waiter,10305.0,145.70297575155104,0.157724125,810.388990875,1889.280902875,0.053219375,144.25,21.4708415
arm64,501,ledger,bursty,agemwis,118919.9375,825.4377383070316,0.49576,0.6618977500000001,1.881002,0.99903725,0.0,0.281096875
arm64,501,ledger,bursty,dguard,124644.5,1005.6411245710719,0.000365125,0.117186,0.8606795,0.9990997500000001,0.0,0.004022125
