policy,N,workload,app,seed,measure_s,tick_us,sched_jitter_us,dispatch_jitter_us,meals,throughput_s,mean_wait_ms,p50_wait_ms,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,min_meals,max_meals,zero_workers,scheduler_ticks,guard_obligations,max_owed_age_ms,epoch_us
dguard,1001,saturated,sleep,1,0.140000,200,120,80,45442,324585.714286,1.468089,0.000100,7.839613,30.572396,71.429097,0.635970,0,193,50,0,0,0.000000,800
dguard,1001,saturated,sleep,2,0.140000,200,120,80,77180,551285.714286,0.162436,0.000100,0.838031,4.011940,76.276574,0.320346,1,694,0,0,0,0.000000,800
dguard,1001,saturated,sleep,3,0.140000,200,120,80,57071,407650.000000,1.105365,0.000150,5.754437,20.690757,93.484969,0.833515,0,144,14,0,0,0.000000,800
dguard,1001,saturated,sleep,4,0.140000,200,120,80,50620,361571.428571,1.592154,0.000150,7.821956,31.429952,150.258901,0.668178,0,240,39,0,0,0.000000,800
dguard,1001,saturated,sleep,5,0.140000,200,120,80,54351,388221.428571,0.597498,0.000091,2.039394,13.816648,81.631033,0.562233,1,270,0,0,0,0.000000,800
dguard,1001,saturated,sleep,1,0.140000,200,120,80,67564,482600.000000,0.821785,0.000080,4.217570,16.292448,145.566243,0.646524,1,265,0,0,0,0.000000,1200
dguard,1001,saturated,sleep,2,0.140000,200,120,80,48020,343000.000000,1.523378,0.000080,7.888444,30.222494,162.343844,0.718689,0,176,80,0,0,0.000000,1200
dguard,1001,saturated,sleep,3,0.140000,200,120,80,43336,309542.857143,1.892242,0.000150,9.145207,34.420104,99.853111,0.763639,0,156,10,0,0,0.000000,1200
dguard,1001,saturated,sleep,4,0.140000,200,120,80,33943,242450.000000,2.625142,0.000180,15.850026,37.878349,558.155198,0.812248,0,104,21,0,0,0.000000,1200
dguard,1001,saturated,sleep,5,0.140000,200,120,80,67497,482121.428571,0.675724,0.000150,3.755590,10.432700,100.873573,0.621983,0,292,1,0,0,0.000000,1200
dguard,1001,saturated,sleep,1,0.140000,200,120,80,70217,501550.000000,0.559899,0.000150,3.199379,10.779765,63.495163,0.731168,2,233,0,0,0,0.000000,2500
dguard,1001,saturated,sleep,2,0.140000,200,120,80,42780,305571.428571,1.578881,0.000090,8.195901,36.416008,167.900304,0.630165,0,209,98,0,0,0.000000,2500
dguard,1001,saturated,sleep,3,0.140000,200,120,80,80465,574750.000000,0.435352,0.000140,2.794537,7.930048,104.239039,0.624238,1,314,0,0,0,0.000000,2500
dguard,1001,saturated,sleep,4,0.140000,200,120,80,43892,313514.285714,1.509322,0.000150,8.351020,32.854423,85.053294,0.745052,0,161,6,0,0,0.000000,2500
dguard,1001,saturated,sleep,5,0.140000,200,120,80,47823,341592.857143,1.192493,0.000150,7.828957,25.682176,102.965034,0.649845,0,222,81,0,0,0.000000,2500
dguard,1001,saturated,sleep,1,0.140000,200,120,80,49041,350292.857143,1.490314,0.000150,6.426419,37.480195,126.470884,0.670466,0,174,6,0,0,0.000000,4000
dguard,1001,saturated,sleep,2,0.140000,200,120,80,44243,316021.428571,1.561496,0.000150,7.838588,29.544547,101.470227,0.824633,0,144,18,0,0,0.000000,4000
dguard,1001,saturated,sleep,3,0.140000,200,120,80,54216,387257.142857,1.448746,0.000150,7.412088,28.513903,144.476859,0.861279,0,145,17,0,0,0.000000,4000
dguard,1001,saturated,sleep,4,0.140000,200,120,80,36887,263478.571429,1.752081,0.000150,11.361370,36.158610,142.690424,0.747895,0,140,1,0,0,0.000000,4000
dguard,1001,saturated,sleep,5,0.140000,200,120,80,64200,458571.428571,0.495177,0.000150,3.875471,10.860734,117.193054,0.539534,0,288,1,0,0,0.000000,4000
dguard,1001,saturated,sleep,1,0.140000,200,120,80,53999,385707.142857,1.468002,0.000071,10.228568,27.350038,171.683238,0.847641,0,143,9,0,0,0.000000,8000
dguard,1001,saturated,sleep,2,0.140000,200,120,80,50573,361235.714286,1.285716,0.000070,9.358747,28.096446,91.770699,0.628574,0,307,67,0,0,0.000000,8000
dguard,1001,saturated,sleep,3,0.140000,200,120,80,57465,410464.285714,0.869656,0.000070,7.623119,23.722398,116.844994,0.624519,0,235,2,0,0,0.000000,8000
dguard,1001,saturated,sleep,4,0.140000,200,120,80,36341,259578.571429,1.872889,0.000080,11.788859,38.999910,117.080461,0.795185,0,117,22,0,0,0.000000,8000
dguard,1001,saturated,sleep,5,0.140000,200,120,80,43671,311935.714286,1.964032,0.000080,11.754444,42.500825,169.790129,0.787377,0,115,2,0,0,0.000000,8000
