policy,N,workload,app,seed,measure_s,tick_us,sched_jitter_us,dispatch_jitter_us,meals,throughput_s,mean_wait_ms,p50_wait_ms,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,min_meals,max_meals,zero_workers,scheduler_ticks,guard_obligations,max_owed_age_ms
gfgrr,501,saturated,ledger,1001,0.14,200,80,50,33140,236714.285714,2.140935,1.918084,3.915675,6.410987,18.316609,0.983609,37,77,0,199,40530,16.31783
dguard,501,saturated,ledger,1001,0.14,200,80,50,59788,427057.142857,0.666885,9e-05,3.382891,9.577409,93.888983,0.857753,6,316,0,0,0,0.0
fifo,501,saturated,ledger,1001,0.14,200,80,50,2984,21314.285714,23.691077,23.754328,25.079223,25.217302,25.316904,0.998818,5,6,0,1008,0,0.0
waiter,501,saturated,ledger,1001,0.14,200,80,50,1917,13692.857143,3.227819,0.093168,1.050409,109.321746,144.038002,0.015506,0,514,418,0,0,0.0
agemwis,501,saturated,ledger,1001,0.14,200,80,50,28238,201700.0,2.468729,1.243564,8.650863,13.02092,19.917577,0.977462,34,73,0,186,0,0.0
gfgrr,501,saturated,ledger,1002,0.14,200,80,50,27155,193964.285714,2.633053,2.456082,4.54759,7.009824,13.581362,0.98732,31,59,0,152,34515,10.967883
dguard,501,saturated,ledger,1002,0.14,200,80,50,48887,349192.857143,0.916758,0.00016,4.99033,15.082292,122.331261,0.926792,6,185,0,0,0,0.0
fifo,501,saturated,ledger,1002,0.14,200,80,50,5766,41185.714286,12.473976,12.34824,15.629803,17.271107,17.625129,0.998117,11,12,0,1208,0,0.0
waiter,501,saturated,ledger,1002,0.14,200,80,50,2379,16992.857143,10.120826,0.097615,104.559044,142.982061,145.307182,0.051496,0,258,268,0,0,0.0
agemwis,501,saturated,ledger,1002,0.14,200,80,50,31182,222728.571429,2.260237,1.957958,5.489566,7.01031,15.439343,0.987646,35,76,0,186,0,0.0
gfgrr,501,saturated,ledger,1003,0.14,200,80,50,28870,206214.285714,2.454452,2.261205,4.072925,6.289408,11.851513,0.988567,34,63,0,159,36535,8.864173
dguard,501,saturated,ledger,1003,0.14,200,80,50,61106,436471.428571,0.668562,8e-05,3.205278,11.141992,121.823939,0.820317,0,287,1,0,0,0.0
fifo,501,saturated,ledger,1003,0.14,200,80,50,3104,22171.428571,21.841948,21.716434,24.303343,24.616074,24.840602,0.995918,6,7,0,1154,0,0.0
waiter,501,saturated,ledger,1003,0.14,200,80,50,2009,14350.0,5.808783,0.093078,61.450374,132.466597,144.138415,0.029891,0,258,373,0,0,0.0
agemwis,501,saturated,ledger,1003,0.14,200,80,50,27074,193385.714286,2.628028,1.963539,6.32865,13.41837,24.240581,0.981171,33,66,0,167,0,0.0
gfgrr,501,saturated,ledger,1004,0.14,200,80,50,28102,200728.571429,2.52997,2.200387,4.782836,12.517536,23.426115,0.977073,28,69,0,178,34944,20.674845
dguard,501,saturated,ledger,1004,0.14,200,80,50,49314,352242.857143,0.948956,8.1e-05,4.49682,22.695055,86.456629,0.934026,0,173,1,0,0,0.0
fifo,501,saturated,ledger,1004,0.14,200,80,50,6824,48742.857143,10.317103,9.990846,14.766421,15.102031,15.469707,0.998733,13,14,0,1191,0,0.0
waiter,501,saturated,ledger,1004,0.14,200,80,50,1921,13721.428571,7.833806,0.089233,105.324931,142.014578,143.710304,0.014939,0,604,325,0,0,0.0
agemwis,501,saturated,ledger,1004,0.14,200,80,50,24493,174950.0,2.905841,2.733844,5.347365,10.573562,25.02876,0.991846,32,64,0,140,0,0.0
gfgrr,501,bursty,ledger,1001,0.14,200,80,50,16145,115321.428571,0.348368,0.259525,0.937827,1.604343,2.958246,0.984466,18,45,0,975,11485,1.615195
dguard,501,bursty,ledger,1001,0.14,200,80,50,17203,122878.571429,0.004795,0.00011,0.000471,0.126785,2.847973,0.983373,18,49,0,0,0,0.0
fifo,501,bursty,ledger,1001,0.14,200,80,50,11886,84900.0,1.972058,1.732468,3.962673,4.994708,5.404108,0.988135,16,31,0,1169,0,0.0
waiter,501,bursty,ledger,1001,0.14,200,80,50,17237,123121.428571,0.082033,0.07396,0.125788,0.266275,2.874161,0.983475,18,50,0,0,0,0.0
agemwis,501,bursty,ledger,1001,0.14,200,80,50,15860,113285.714286,0.42324,0.367139,0.863733,1.47181,3.678915,0.984337,17,44,0,677,0,0.0
gfgrr,501,bursty,ledger,1002,0.14,200,80,50,16085,114892.857143,0.441198,0.372202,0.954768,1.530038,3.553339,0.984026,19,43,0,791,11683,1.918234
dguard,501,bursty,ledger,1002,0.14,200,80,50,17599,125707.142857,0.003755,0.00017,0.000501,0.114036,0.334906,0.983634,22,48,0,0,0,0.0
fifo,501,bursty,ledger,1002,0.14,200,80,50,10863,77592.857143,2.526616,2.486486,3.327881,3.503206,3.799193,0.989321,15,28,0,963,0,0.0
waiter,501,bursty,ledger,1002,0.14,200,80,50,17605,125750.0,0.077032,0.074601,0.11156,0.142829,0.413202,0.983541,22,48,0,0,0,0.0
agemwis,501,bursty,ledger,1002,0.14,200,80,50,15990,114214.285714,0.467336,0.414609,0.931859,1.353343,2.557813,0.984072,20,44,0,611,0,0.0
gfgrr,501,bursty,ledger,1003,0.14,200,80,50,16063,114735.714286,0.435437,0.388296,0.848698,1.190326,5.554876,0.986127,21,43,0,673,11689,0.991505
dguard,501,bursty,ledger,1003,0.14,200,80,50,17369,124064.285714,0.003886,0.0002,0.000531,0.113444,0.544837,0.985453,22,49,0,0,0,0.0
fifo,501,bursty,ledger,1003,0.14,200,80,50,10867,77621.428571,2.528211,2.536281,3.2333,3.686738,4.085808,0.990016,15,28,0,971,0,0.0
waiter,501,bursty,ledger,1003,0.14,200,80,50,17380,124142.857143,0.076953,0.073319,0.113488,0.165445,1.440315,0.985593,22,48,0,0,0,0.0
agemwis,501,bursty,ledger,1003,0.14,200,80,50,16409,117207.142857,0.325089,0.298723,0.592673,0.804527,1.55801,0.986151,21,44,0,842,0,0.0
gfgrr,501,bursty,ledger,1004,0.14,200,80,50,15852,113228.571429,0.496553,0.418575,0.979653,1.950514,5.363453,0.983622,18,45,0,586,11798,0.919103
dguard,501,bursty,ledger,1004,0.14,200,80,50,17446,124614.285714,0.003549,0.0001,0.00026,0.097823,0.349118,0.982007,22,49,0,0,0,0.0
fifo,501,bursty,ledger,1004,0.14,200,80,50,14157,101121.428571,1.01652,0.858102,2.202323,3.375292,3.660928,0.984763,18,40,0,1319,0,0.0
waiter,501,bursty,ledger,1004,0.14,200,80,50,17423,124450.0,0.076655,0.072057,0.117444,0.163001,1.266578,0.982018,22,49,0,0,0,0.0
agemwis,501,bursty,ledger,1004,0.14,200,80,50,16655,118964.285714,0.25087,0.217533,0.485523,0.835705,2.647656,0.982506,21,48,0,1117,0,0.0
gfgrr,501,saturated,kv,1001,0.14,200,80,50,28632,204514.285714,2.447107,2.085192,5.292578,9.547713,31.60446,0.94341,28,77,0,222,37359,28.769626
dguard,501,saturated,kv,1001,0.14,200,80,50,52980,378428.571429,0.800892,8e-05,3.589633,13.617798,115.976269,0.85418,11,241,0,0,0,0.0
fifo,501,saturated,kv,1001,0.14,200,80,50,7202,51442.857143,9.606259,9.59049,10.776077,11.012148,11.348196,0.998867,14,15,0,1283,0,0.0
waiter,501,saturated,kv,1001,0.14,200,80,50,1861,13292.857143,3.924153,0.090034,0.442747,139.605072,148.000106,0.025944,0,258,426,0,0,0.0
agemwis,501,saturated,kv,1001,0.14,200,80,50,26609,190064.285714,2.607924,1.692549,7.519487,10.239306,17.172953,0.981848,33,65,0,158,0,0.0
gfgrr,501,saturated,kv,1002,0.14,200,80,50,30923,220878.571429,2.285594,2.215065,3.687777,5.540905,22.205334,0.990233,36,67,0,183,41232,20.266609
dguard,501,saturated,kv,1002,0.14,200,80,50,47912,342228.571429,0.89404,9e-05,4.840787,13.627685,116.403137,0.928792,33,170,0,0,0,0.0
fifo,501,saturated,kv,1002,0.14,200,80,50,5217,37264.285714,13.557679,13.053489,17.945197,18.315236,18.777371,0.997769,10,11,0,1200,0,0.0
waiter,501,saturated,kv,1002,0.14,200,80,50,2098,14985.714286,6.270335,0.090975,38.6297,141.426595,143.755932,0.033865,0,267,262,0,0,0.0
agemwis,501,saturated,kv,1002,0.14,200,80,50,27594,197100.0,2.567183,1.298165,9.430006,14.202694,24.060936,0.966486,31,74,0,179,0,0.0
gfgrr,501,saturated,kv,1003,0.14,200,80,50,32421,231578.571429,2.174339,2.109357,3.816509,5.931238,18.329828,0.981027,38,77,0,196,39875,14.619797
dguard,501,saturated,kv,1003,0.14,200,80,50,51533,368092.857143,0.911656,9e-05,4.383952,17.627507,94.274908,0.920528,1,199,0,0,0,0.0
fifo,501,saturated,kv,1003,0.14,200,80,50,3151,22507.142857,21.547722,21.90604,22.820611,23.476459,23.945464,0.994828,6,7,0,1249,0,0.0
waiter,501,saturated,kv,1003,0.14,200,80,50,2196,15685.714286,8.035801,0.093228,110.731572,142.852457,145.210614,0.037681,0,258,350,0,0,0.0
agemwis,501,saturated,kv,1003,0.14,200,80,50,24566,175471.428571,2.875588,2.697409,6.974223,18.260552,29.227045,0.961078,29,67,0,148,0,0.0
gfgrr,501,saturated,kv,1004,0.14,200,80,50,26438,188842.857143,2.680193,2.480102,4.786325,7.562079,18.051105,0.982118,24,60,0,156,33242,15.634251
dguard,501,saturated,kv,1004,0.14,200,80,50,46130,329500.0,0.954528,9e-05,4.886132,15.587059,101.359547,0.929996,5,180,0,0,0,0.0
fifo,501,saturated,kv,1004,0.14,200,80,50,3924,28028.571429,17.373157,17.085118,20.73052,21.479346,21.929145,0.99773,7,8,0,1281,0,0.0
waiter,501,saturated,kv,1004,0.14,200,80,50,1724,12314.285714,5.385748,0.086373,30.492767,121.320398,145.260985,0.022094,0,258,407,0,0,0.0
agemwis,501,saturated,kv,1004,0.14,200,80,50,27353,195378.571429,2.575366,1.474135,7.229352,10.385654,20.645426,0.967536,33,74,0,152,0,0.0
gfgrr,501,bursty,kv,1001,0.14,200,80,50,15496,110685.714286,0.540257,0.427779,1.240049,2.785852,5.699831,0.983727,20,42,0,608,11642,2.526727
dguard,501,bursty,kv,1001,0.14,200,80,50,17325,123750.0,0.003677,0.000101,0.00029,0.114256,0.367385,0.982418,24,48,0,0,0,0.0
fifo,501,bursty,kv,1001,0.14,200,80,50,11471,81935.714286,2.153463,2.143879,2.836996,3.168078,3.845972,0.988727,16,30,0,1010,0,0.0
waiter,501,bursty,kv,1001,0.14,200,80,50,17339,123850.0,0.076421,0.073589,0.112768,0.157287,0.444249,0.982273,24,48,0,0,0,0.0
agemwis,501,bursty,kv,1001,0.14,200,80,50,15903,113592.857143,0.431984,0.401204,0.796638,1.079736,4.465551,0.982997,20,44,0,648,0,0.0
gfgrr,501,bursty,kv,1002,0.14,200,80,50,15449,110350.0,0.575803,0.292965,2.077288,6.119634,8.169097,0.98463,18,41,0,891,11386,2.074145
dguard,501,bursty,kv,1002,0.14,200,80,50,17468,124771.428571,0.004116,0.000101,0.000301,0.119799,1.094633,0.983576,19,49,0,0,0,0.0
fifo,501,bursty,kv,1002,0.14,200,80,50,11870,84785.714286,2.011429,1.986034,2.704088,3.042452,4.133499,0.988914,17,31,0,1036,0,0.0
waiter,501,bursty,kv,1002,0.14,200,80,50,17451,124650.0,0.080589,0.074871,0.120159,0.191844,2.850902,0.983882,19,49,0,0,0,0.0
agemwis,501,bursty,kv,1002,0.14,200,80,50,15717,112264.285714,0.527695,0.489836,0.97691,1.332401,4.018949,0.98472,18,41,0,524,0,0.0
gfgrr,501,bursty,kv,1003,0.14,200,80,50,15691,112078.571429,0.496749,0.341807,1.325451,3.108649,8.98061,0.983468,19,43,0,743,11558,5.500145
dguard,501,bursty,kv,1003,0.14,200,80,50,17394,124242.857143,0.004595,0.00013,0.000451,0.12658,1.015415,0.983539,21,50,0,0,0,0.0
fifo,501,bursty,kv,1003,0.14,200,80,50,11148,79628.571429,2.412242,2.381366,3.220807,3.71809,7.472479,0.988845,14,29,0,988,0,0.0
waiter,501,bursty,kv,1003,0.14,200,80,50,17454,124671.428571,0.07743,0.073359,0.118423,0.153205,1.510529,0.983576,22,50,0,0,0,0.0
agemwis,501,bursty,kv,1003,0.14,200,80,50,15842,113157.142857,0.498909,0.455581,0.959032,1.325016,2.668126,0.983755,19,43,0,550,0,0.0
gfgrr,501,bursty,kv,1004,0.14,200,80,50,16407,117192.857143,0.31773,0.27672,0.585507,1.305336,4.136603,0.984971,21,48,0,903,11723,3.663252
dguard,501,bursty,kv,1004,0.14,200,80,50,17495,124964.285714,0.003834,0.0001,0.000301,0.115514,0.574392,0.984065,21,49,0,0,0,0.0
fifo,501,bursty,kv,1004,0.14,200,80,50,10707,76478.571429,2.617653,2.376904,4.473562,5.315498,6.559025,0.989069,15,28,0,1183,0,0.0
waiter,501,bursty,kv,1004,0.14,200,80,50,17469,124778.571429,0.078634,0.07461,0.119243,0.170291,1.162378,0.984176,21,49,0,0,0,0.0
agemwis,501,bursty,kv,1004,0.14,200,80,50,14955,106821.428571,0.741732,0.487432,2.069172,4.616935,9.372677,0.983586,18,41,0,463,0,0.0
gfgrr,501,saturated,ledger,1005,0.14,200,80,50,29425,210178.571429,2.414424,2.269415,3.986354,5.68145,12.378724,0.988459,32,63,0,180,38399,10.711152
dguard,501,saturated,ledger,1005,0.14,200,80,50,56466,403328.571429,0.785137,8.1e-05,3.731896,12.932395,101.176445,0.876555,20,264,0,0,0,0.0
gfgrr,501,saturated,ledger,1006,0.14,200,80,50,26139,186707.142857,2.714143,2.659643,3.62648,5.539005,11.16175,0.997119,37,55,0,138,31207,10.263573
dguard,501,saturated,ledger,1006,0.14,200,80,50,49088,350628.571429,0.907372,0.00015,5.046739,13.676106,75.205371,0.876328,0,240,9,0,0,0.0
gfgrr,501,saturated,ledger,1007,0.14,200,80,50,25989,185635.714286,2.726388,2.366489,5.074016,7.585332,13.930901,0.985685,31,59,0,152,31890,13.564032
