policy,N,workload,app,seed,measure_s,tick_us,sched_jitter_us,dispatch_jitter_us,meals,throughput_s,mean_wait_ms,p50_wait_ms,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,min_meals,max_meals,zero_workers,scheduler_ticks,guard_obligations,max_owed_age_ms
gfgrr,1001,saturated,sleep,1,0.140000,200,120,80,29483,210592.857143,4.822246,4.006570,8.090899,15.446767,78.442816,0.956214,6,34,0,90,35314,73.587732
dguard,1001,saturated,sleep,1,0.140000,200,120,80,47889,342064.285714,2.092799,0.000130,9.813276,32.787001,144.604684,0.897293,0,99,1,0,0,0.000000
fifo,1001,saturated,sleep,1,0.140000,200,120,80,3633,25950.000000,40.007353,40.063813,40.753121,40.910701,41.757798,0.982600,3,4,0,1084,0,0.000000
waiter,1001,saturated,sleep,1,0.140000,200,120,80,6412,45800.000000,15.385155,0.126192,138.303018,143.500419,151.096480,0.144080,0,258,294,0,0,0.000000
agemwis,1001,saturated,sleep,1,0.140000,200,120,80,27610,197214.285714,5.108060,3.383582,12.285370,19.701350,32.141355,0.988054,9,31,0,79,0,0.000000
gfgrr,1001,saturated,sleep,2,0.140000,200,120,80,28908,206485.714286,4.938986,4.872044,7.922323,11.977476,46.422070,0.983868,12,32,0,88,35769,42.634123
dguard,1001,saturated,sleep,2,0.140000,200,120,80,49878,356271.428571,1.812051,0.000100,8.764884,32.703783,105.810404,0.839062,0,143,5,0,0,0.000000
fifo,1001,saturated,sleep,2,0.140000,200,120,80,3196,22828.571429,42.353002,42.041024,45.421736,45.681881,45.998931,0.984963,3,4,0,1015,0,0.000000
waiter,1001,saturated,sleep,2,0.140000,200,120,80,1784,12742.857143,22.270113,0.114930,124.994080,145.693864,147.601862,0.041616,0,130,634,0,0,0.000000
agemwis,1001,saturated,sleep,2,0.140000,200,120,80,18737,133835.714286,7.630588,7.326553,15.249133,18.449585,34.047112,0.977828,7,29,0,56,0,0.000000
gfgrr,1001,saturated,sleep,3,0.140000,200,120,80,23132,165228.571429,6.179480,5.877229,10.151372,17.562278,35.055491,0.981512,8,26,0,70,29429,29.312632
dguard,1001,saturated,sleep,3,0.140000,200,120,80,41152,293942.857143,1.505204,0.000090,8.706627,32.805843,111.283940,0.609509,0,206,149,0,0,0.000000
fifo,1001,saturated,sleep,3,0.140000,200,120,80,2290,16357.142857,56.097615,55.574770,62.943547,63.255994,63.529340,0.962318,2,3,0,1146,0,0.000000
waiter,1001,saturated,sleep,3,0.140000,200,120,80,1735,12392.857143,12.987220,0.115170,149.230274,158.046851,160.382216,0.022022,0,130,827,0,0,0.000000
agemwis,1001,saturated,sleep,3,0.140000,200,120,80,26249,187492.857143,5.400099,4.436257,11.203761,20.036109,36.299010,0.980128,16,33,0,74,0,0.000000
gfgrr,1001,saturated,sleep,4,0.140000,200,120,80,25733,183807.142857,5.498959,4.902779,10.485513,15.029521,28.134539,0.978509,16,32,0,87,32940,28.616043
dguard,1001,saturated,sleep,4,0.140000,200,120,80,40057,286121.428571,1.878209,0.000100,9.327690,33.354900,111.049402,0.765107,1,169,0,0,0,0.000000
fifo,1001,saturated,sleep,4,0.140000,200,120,80,2904,20742.857143,46.700406,45.555050,51.119433,51.377019,51.927829,0.989522,2,3,0,1076,0,0.000000
waiter,1001,saturated,sleep,4,0.140000,200,120,80,4865,34750.000000,11.277613,0.119948,134.736930,145.720844,149.666318,0.095315,0,258,586,0,0,0.000000
agemwis,1001,saturated,sleep,4,0.140000,200,120,80,25975,185535.714286,5.440889,5.254131,11.007365,14.376033,26.222069,0.981203,15,32,0,77,0,0.000000
gfgrr,1001,saturated,sleep,5,0.140000,200,120,80,22953,163950.000000,6.281638,5.443672,11.111642,15.663042,39.515158,0.989332,14,25,0,71,29973,31.508196
dguard,1001,saturated,sleep,5,0.140000,200,120,80,37735,269535.714286,2.448598,0.000180,12.751041,37.662674,193.290149,0.777500,0,124,23,0,0,0.000000
fifo,1001,saturated,sleep,5,0.140000,200,120,80,2894,20671.428571,48.272247,48.061015,50.499963,51.885796,52.274723,0.988524,2,3,0,1081,0,0.000000
waiter,1001,saturated,sleep,5,0.140000,200,120,80,1555,11107.142857,8.691101,0.105206,132.157616,153.025526,154.837760,0.006422,0,514,906,0,0,0.000000
agemwis,1001,saturated,sleep,5,0.140000,200,120,80,25890,184928.571429,5.448174,2.624982,16.738307,34.697523,47.461494,0.974629,13,35,0,98,0,0.000000
gfgrr,1001,saturated,sleep,6,0.140000,200,120,80,26861,191864.285714,5.366470,5.009427,9.850454,14.486065,29.771421,0.988385,12,29,0,87,35398,26.838237
dguard,1001,saturated,sleep,6,0.140000,200,120,80,42247,301764.285714,1.432907,0.000090,8.836603,28.352444,94.090648,0.607432,0,228,141,0,0,0.000000
fifo,1001,saturated,sleep,6,0.140000,200,120,80,2671,19078.571429,53.749082,53.400856,55.867542,56.390556,56.677373,0.969807,2,3,0,1053,0,0.000000
waiter,1001,saturated,sleep,6,0.140000,200,120,80,6462,46157.142857,12.163675,0.127469,125.496950,136.091199,143.044866,0.125036,0,258,376,0,0,0.000000
agemwis,1001,saturated,sleep,6,0.140000,200,120,80,26845,191750.000000,5.332813,5.570719,9.387002,14.045656,30.772415,0.981726,17,34,0,87,0,0.000000
gfgrr,1001,saturated,sleep,7,0.140000,200,120,80,29609,211492.857143,4.809023,4.090685,9.657719,17.358909,52.185153,0.952262,7,37,0,104,39522,48.420711
dguard,1001,saturated,sleep,7,0.140000,200,120,80,45671,326221.428571,1.442431,0.000090,7.104264,28.201581,148.102811,0.675545,0,242,7,0,0,0.000000
fifo,1001,saturated,sleep,7,0.140000,200,120,80,4504,32171.428571,30.255403,29.631929,32.759536,32.995372,33.178303,0.987802,4,5,0,990,0,0.000000
