workload,comparison_vs_gfgrr,metric,gfgrr_mean,other_mean,delta_other_minus_gfgrr,p_raw,p_holm
saturated,dguard,throughput_s,190111.607142875,342801.785714125,152690.17857125,0.0078125,0.0234375
saturated,dguard,p99_wait_ms,14.885734625,29.068840625,14.183106,0.015625,0.0234375
saturated,dguard,jain,0.977956875,0.712505375,-0.2654515,0.0078125,0.0234375
saturated,fifo,throughput_s,190111.607142875,24517.857142875,-165593.75,0.0078125,0.0234375
saturated,fifo,p99_wait_ms,14.885734625,46.8668035,31.981068875,0.0078125,0.0234375
saturated,fifo,jain,0.977956875,0.982195375,0.004238499999999992,0.7421875,0.7421875
saturated,waiter,throughput_s,190111.607142875,23283.928571375,-166827.6785715,0.0078125,0.0234375
saturated,waiter,p99_wait_ms,14.885734625,140.027939125,125.1422045,0.0078125,0.0234375
saturated,waiter,jain,0.977956875,0.058735,-0.9192218750000001,0.0078125,0.0234375
saturated,agemwis,throughput_s,190111.607142875,181668.75,-8442.857142875,0.7421875,1.0
saturated,agemwis,p99_wait_ms,14.885734625,21.12056975,6.234835124999999,0.109375,0.328125
saturated,agemwis,jain,0.977956875,0.9793415,0.0013846250000000004,0.84375,1.0
bursty,dguard,throughput_s,168835.714285875,247238.39285725,78402.678571375,0.0078125,0.0234375
bursty,dguard,p99_wait_ms,7.9220235,0.14022099999999998,-7.7818024999999995,0.0078125,0.0234375
bursty,dguard,jain,0.980848625,0.9847231249999999,0.003874499999999975,0.0234375,0.0234375
bursty,fifo,throughput_s,168835.714285875,75574.107143,-93261.607142875,0.0078125,0.0234375
bursty,fifo,p99_wait_ms,7.9220235,13.2959295,5.373906,0.0078125,0.0234375
bursty,fifo,jain,0.980848625,0.99345225,0.012603624999999993,0.0078125,0.0234375
bursty,waiter,throughput_s,168835.714285875,248018.75,79183.035714125,0.0078125,0.0234375
bursty,waiter,p99_wait_ms,7.9220235,0.22178199999999998,-7.700241500000001,0.0078125,0.0234375
bursty,waiter,jain,0.980848625,0.984680125,0.0038315000000000016,0.0078125,0.0234375
bursty,agemwis,throughput_s,168835.714285875,152497.321428625,-16338.39285725,0.0234375,0.0703125
bursty,agemwis,p99_wait_ms,7.9220235,8.546657875,0.6246343750000002,0.546875,0.546875
bursty,agemwis,jain,0.980848625,0.984082625,0.003233999999999987,0.1953125,0.390625
