mode,policy,N,workload,app,seed,measure_s,epoch_us,meals,throughput_s,mean_wait_ms,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,zero_workers,ledger_invariant
process,dguard,5,saturated,sleep,3001,0.130000,1200,135,1038.461538,2.274629,7.206923,8.290370,8.872275,0.838509,0,1
process,ordered,5,saturated,sleep,3001,0.130000,1200,73,561.538462,0.853289,0.166290,15.945985,54.181763,0.205554,3,1
process,waiter,5,saturated,sleep,3001,0.130000,1200,72,553.846154,0.637873,0.129951,12.531908,36.713434,0.205633,3,1
process,dguard,5,saturated,sleep,3002,0.130000,1200,149,1146.153846,2.641606,8.241143,10.771430,13.030590,0.987809,0,1
process,ordered,5,saturated,sleep,3002,0.130000,1200,75,576.923077,0.100231,0.124729,0.169480,0.286054,0.200000,4,1
process,waiter,5,saturated,sleep,3002,0.130000,1200,74,569.230769,0.675885,0.140401,11.865033,40.070973,0.336985,3,1
process,dguard,5,bursty,sleep,3001,0.130000,1200,104,800.000000,0.862215,3.382721,4.949091,5.655144,0.994118,0,1
process,ordered,5,bursty,sleep,3001,0.130000,1200,104,800.000000,0.917785,3.115121,4.436907,6.393415,0.989570,0,1
process,waiter,5,bursty,sleep,3001,0.130000,1200,101,776.923077,1.093371,3.378679,5.596988,5.729224,0.992798,0,1
process,dguard,5,bursty,sleep,3002,0.130000,1200,107,823.076923,0.796598,2.538496,2.830884,3.309156,0.987408,0,1
process,ordered,5,bursty,sleep,3002,0.130000,1200,109,838.461538,0.810637,2.723452,3.534259,3.642881,0.990496,0,1
process,waiter,5,bursty,sleep,3002,0.130000,1200,105,807.692308,1.022303,3.074298,4.354017,4.864813,0.993691,0,1
process,dguard,5,saturated,ledger,3001,0.130000,1200,2687,20669.230769,0.148040,1.293128,2.460481,2.722757,0.999418,0,1
process,ordered,5,saturated,ledger,3001,0.130000,1200,1422,10938.461538,0.178267,0.115796,0.134604,42.509674,0.201128,3,1
process,waiter,5,saturated,ledger,3001,0.130000,1200,2195,16884.615385,0.286671,0.699847,3.979665,21.794429,0.928870,0,1
process,dguard,5,saturated,ledger,3002,0.130000,1200,2834,21800.000000,0.139974,1.282829,2.454634,2.595057,0.999724,0,1
process,ordered,5,saturated,ledger,3002,0.130000,1200,1357,10438.461538,0.282432,0.120198,0.135952,130.153967,0.203273,2,1
process,waiter,5,saturated,ledger,3002,0.130000,1200,2339,17992.307692,0.269061,0.913675,3.489835,13.172010,0.909886,0,1
process,dguard,5,bursty,ledger,3001,0.130000,1200,181,1392.307692,0.004603,0.000861,0.087305,0.141550,0.987223,0,1
process,ordered,5,bursty,ledger,3001,0.130000,1200,180,1384.615385,0.099813,0.127530,0.162268,0.165796,0.988709,0,1
process,waiter,5,bursty,ledger,3001,0.130000,1200,181,1392.307692,0.102113,0.141670,0.196043,0.231193,0.987223,0,1
process,dguard,5,bursty,ledger,3002,0.130000,1200,156,1200.000000,0.076263,0.145989,2.453765,4.573681,0.981290,0,1
process,ordered,5,bursty,ledger,3002,0.130000,1200,160,1230.769231,0.103248,0.142805,0.172371,0.175891,0.980092,0,1
process,waiter,5,bursty,ledger,3002,0.130000,1200,161,1238.461538,0.103041,0.138816,0.177748,0.255800,0.981299,0,1
process,dguard,51,saturated,sleep,3001,0.130000,1200,1567,12053.846154,2.457716,9.229560,16.063273,32.010271,0.968574,0,1
process,ordered,51,saturated,sleep,3001,0.130000,1200,86,661.538462,11.120204,124.574604,140.941835,140.960273,0.033140,43,1
process,waiter,51,saturated,sleep,3001,0.130000,1200,75,576.923077,0.102003,0.127752,0.152487,0.163322,0.019608,50,1
process,dguard,51,saturated,sleep,3002,0.130000,1200,1562,12015.384615,2.499785,9.971651,14.467043,37.301777,0.974300,0,1
process,ordered,51,saturated,sleep,3002,0.130000,1200,76,584.615385,1.778576,3.984127,5.323190,5.458684,0.037929,49,1
process,waiter,51,saturated,sleep,3002,0.130000,1200,80,615.384615,8.696168,60.528405,114.967944,115.540500,0.026209,44,1
process,dguard,51,bursty,sleep,3001,0.130000,1200,1031,7930.769231,0.767719,2.645653,3.901423,8.645229,0.988212,0,1
process,ordered,51,bursty,sleep,3001,0.130000,1200,1013,7792.307692,0.923360,3.287879,4.705843,6.184595,0.988988,0,1
process,waiter,51,bursty,sleep,3001,0.130000,1200,999,7684.615385,0.978894,3.462976,4.695011,6.695076,0.986970,0,1
process,dguard,51,bursty,sleep,3002,0.130000,1200,1024,7876.923077,0.694434,2.511007,3.877102,5.638850,0.984878,0,1
process,ordered,51,bursty,sleep,3002,0.130000,1200,1012,7784.615385,0.832437,2.926478,4.154183,5.743746,0.986503,0,1
