p,workload,algorithm,throughput_mean,mean_wait_mean,max_wait_max,jain_mean
0.05,hotspot,AgeMIS,0.24956666666666666,0.022464585580106847,2,0.3082603452222562
0.05,hotspot,GRR,0.21954666666666667,0.870933807662286,2,0.326629705980541
0.05,hotspot,GuardedFill,0.24985,0.02390356523920185,2,0.30802115600567376
0.05,hotspot,RotatingGreedy,0.24998333333333334,0.024383151824840663,3,0.30789926467430995
0.05,uniform,AgeMIS,0.24906333333333333,0.05240281535427957,2,0.9984810344900953
0.05,uniform,GRR,0.23982666666666666,0.8215297192053583,2,0.9984474931417417
0.05,uniform,GuardedFill,0.24907,0.05339783506119898,2,0.9984730155277667
0.05,uniform,RotatingGreedy,0.24905333333333332,0.05275909496992989,3,0.9984703836074517
0.2,hotspot,AgeMIS,0.9386066666666667,0.09829197466567283,3,0.317302546103235
0.2,hotspot,GRR,0.5831233333333333,1.1497843640037415,2,0.4206382689384911
0.2,hotspot,GuardedFill,0.9427033333333333,0.12012458125800193,2,0.31540889183064086
0.2,hotspot,RotatingGreedy,0.94839,0.1438274757808465,4,0.31318258772547874
0.2,uniform,AgeMIS,0.9569633333333333,0.23440007019978262,4,0.9995206030840499
0.2,uniform,GRR,0.84928,0.8992242591761275,2,0.9997127891674774
0.2,uniform,GuardedFill,0.9534166666666667,0.2530878614200784,2,0.9996564287305033
0.2,uniform,RotatingGreedy,0.95536,0.24314511539990122,4,0.9996568053089282
0.4,hotspot,AgeMIS,1.5673266666666665,0.4637033783141345,6,0.81407291542515
0.4,hotspot,GRR,1.24476,1.097499475679872,2,0.9161912597001061
0.4,hotspot,GuardedFill,1.5526133333333334,0.5268451635654695,2,0.7949031792161195
0.4,hotspot,RotatingGreedy,1.5727366666666667,0.5312761761697928,4,0.7662982311809082
0.4,uniform,AgeMIS,1.64793,0.5337348554201259,5,0.9984033859457172
0.4,uniform,GRR,1.42381,1.0121373743594444,2,0.9999146843638088
0.4,uniform,GuardedFill,1.6203866666666669,0.5872855618593319,2,0.999881734645522
0.4,uniform,RotatingGreedy,1.6370266666666666,0.5541398342905041,4,0.9998773891750471
