N,p,workload,rep,algorithm,throughput,mean_wait,p95_wait,p99_wait,max_wait,jain
5,0.05,uniform,0,GRR,0.2434,0.8270336894001643,2,2,2,0.9973999124549648
5,0.05,uniform,0,RotatingGreedy,0.2539,0.04647499015360378,0,1,2,0.9974510269619581
5,0.05,uniform,0,AgeMIS,0.2537,0.04572329523058731,0,1,1,0.9975904828256417
5,0.05,uniform,0,GuardedFill,0.2538,0.04452324665090623,0,1,2,0.9975491190549567
5,0.05,uniform,1,GRR,0.237,0.8118143459915612,2,2,2,0.9985866289767727
5,0.05,uniform,1,RotatingGreedy,0.2476,0.05088852988691438,0,1,2,0.998411486027624
5,0.05,uniform,1,AgeMIS,0.2475,0.050101010101010104,1,1,1,0.9984320104576101
5,0.05,uniform,1,GuardedFill,0.2477,0.05248284214775938,1,1,2,0.9983831980167489
5,0.05,uniform,2,GRR,0.2431,0.7980255039078569,2,2,2,0.9983353647154418
5,0.05,uniform,2,RotatingGreedy,0.2537,0.05833661805281829,1,1,2,0.9990677351132152
5,0.05,uniform,2,AgeMIS,0.2536,0.05717665615141956,1,1,2,0.9990285123999036
5,0.05,uniform,2,GuardedFill,0.2536,0.05954258675078864,1,1,2,0.999095247564128
5,0.05,uniform,3,GRR,0.2438,0.7916324856439705,2,2,2,0.9996727095978836
5,0.05,uniform,3,RotatingGreedy,0.2541,0.05588351042896497,1,1,2,0.9996448352873327
5,0.05,uniform,3,AgeMIS,0.2541,0.05509641873278237,1,1,1,0.9997098422170284
5,0.05,uniform,3,GuardedFill,0.254,0.05551181102362205,1,1,2,0.999662213462498
5,0.05,uniform,4,GRR,0.2374,0.8066554338668913,2,2,2,0.9965776811906855
5,0.05,uniform,4,RotatingGreedy,0.2465,0.04746450304259635,0,1,2,0.9969515021399372
5,0.05,uniform,4,AgeMIS,0.2467,0.047831374138629916,0,1,1,0.9970550772313205
5,0.05,uniform,4,GuardedFill,0.2465,0.047058823529411764,0,1,2,0.9969515021399372
5,0.05,uniform,5,GRR,0.2486,0.833467417538214,2,2,2,0.9980501496220288
5,0.05,uniform,5,RotatingGreedy,0.2576,0.057841614906832296,1,1,2,0.9981897797921421
5,0.05,uniform,5,AgeMIS,0.2579,0.05854982551376502,1,1,2,0.9980681605884653
