family,N,p,workload,metric,A,B,A_mean,B_mean,diff_mean,wilcoxon_stat,wilcoxon_p,wilcoxon_p_holm
AgeMIS_vs_GRR,101,0.05,hotspot,throughput,AgeMIS,GRR,4.963444444444445,4.7916944444444445,0.17174999999999993,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.05,hotspot,mean_wait,AgeMIS,GRR,0.10335476237727753,0.543361793783432,-0.44000703140615455,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.05,uniform,throughput,AgeMIS,GRR,5.030916666666666,4.915777777777778,0.11513888888888905,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.05,uniform,mean_wait,AgeMIS,GRR,0.05227396204131296,0.52548722311762,-0.4732132610763071,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.2,hotspot,throughput,AgeMIS,GRR,16.77311111111111,16.075472222222224,0.6976388888888895,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.2,hotspot,mean_wait,AgeMIS,GRR,0.34296052134314836,0.6393205678238705,-0.2963600464807223,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.2,uniform,throughput,AgeMIS,GRR,19.27436111111111,18.089027777777776,1.185333333333335,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.2,uniform,mean_wait,AgeMIS,GRR,0.22917863355819845,0.5724829821126899,-0.34330434855449155,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.4,hotspot,throughput,AgeMIS,GRR,32.15847222222222,30.493916666666664,1.6645555555555562,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.4,hotspot,mean_wait,AgeMIS,GRR,0.489875519760238,0.6760134725242247,-0.1861379527639865,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.4,uniform,throughput,AgeMIS,GRR,33.99883333333333,32.191472222222224,1.8073611111111123,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,101,0.4,uniform,mean_wait,AgeMIS,GRR,0.4745645098831246,0.642150768552669,-0.16758625866954432,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.05,hotspot,throughput,AgeMIS,GRR,49.18997222222222,47.58580555555556,1.6041666666666654,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.05,hotspot,mean_wait,AgeMIS,GRR,0.11074436273379666,0.5276148522317795,-0.4168704894979829,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.05,uniform,throughput,AgeMIS,GRR,49.930277777777775,48.805527777777776,1.1247499999999995,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.05,uniform,mean_wait,AgeMIS,GRR,0.05259140674358195,0.5140484151491135,-0.46145700840553144,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.2,hotspot,throughput,AgeMIS,GRR,165.83705555555557,160.11891666666665,5.7181388888888875,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.2,hotspot,mean_wait,AgeMIS,GRR,0.3472170994143233,0.626599253109573,-0.2793821536952495,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.2,uniform,throughput,AgeMIS,GRR,191.30730555555553,180.04174999999998,11.265555555555542,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.2,uniform,mean_wait,AgeMIS,GRR,0.23015805527164257,0.556994483328907,-0.3268364280572644,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.4,hotspot,throughput,AgeMIS,GRR,318.5749166666666,303.3301111111111,15.244805555555558,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.4,hotspot,mean_wait,AgeMIS,GRR,0.48885666381245496,0.6615238676356426,-0.1726672038231877,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.4,uniform,throughput,AgeMIS,GRR,336.62763888888884,320.1645,16.463138888888892,0.0,0.00048828125,0.01171875
AgeMIS_vs_GRR,1001,0.4,uniform,mean_wait,AgeMIS,GRR,0.47391931361260525,0.6267168120991403,-0.152797498486535,0.0,0.00048828125,0.01171875
GuardedFill_vs_AgeMIS,101,0.05,hotspot,throughput,GuardedFill,AgeMIS,4.9597500000000005,4.963444444444445,-0.003694444444444519,0.0,0.0009765625,0.01171875
GuardedFill_vs_AgeMIS,101,0.05,hotspot,max_wait,GuardedFill,AgeMIS,1.9166666666666667,2.6666666666666665,-0.75,0.0,0.00390625,0.01953125
GuardedFill_vs_AgeMIS,101,0.05,uniform,throughput,GuardedFill,AgeMIS,5.030694444444444,5.030916666666666,-0.0002222222222224938,30.5,0.53076171875,1.0
GuardedFill_vs_AgeMIS,101,0.05,uniform,max_wait,GuardedFill,AgeMIS,1.5833333333333333,1.5833333333333333,0.0,28.5,1.0,1.0
GuardedFill_vs_AgeMIS,101,0.2,hotspot,throughput,GuardedFill,AgeMIS,16.683666666666667,16.77311111111111,-0.08944444444444481,0.0,0.00048828125,0.01171875
