N,algorithm,repetitions,median_ms,mean_ms,p95_ms
1000,GRR,30,0.0010765000126866653,0.001152033333558696,0.0015290499987941062
1000,RotatingGreedy,30,0.0022935000174584275,0.002853566669121695,0.004956050005944235
1000,AgeMIS,30,0.0021630000333061616,0.0025194000102146674,0.004549650020635447
10000,GRR,30,0.009093000016946462,0.009113700000777195,0.009174999982519694
10000,RotatingGreedy,30,0.026084000012360775,0.031610733331414544,0.04772649998585621
10000,AgeMIS,30,0.03553850001480896,0.12206310000237863,0.1254748000093286
100000,GRR,10,0.08953900001529291,0.09538299999576338,0.10977274998253961
100000,RotatingGreedy,10,0.4784170000107224,0.9726182000122208,3.1056887500085364
100000,AgeMIS,10,0.5812820000130614,0.7920435999949405,1.7206500499923985
1000000,GRR,3,1.05101500003002,1.3799556666640456,2.0415477999790705
1000000,RotatingGreedy,3,5.674489000000449,5.648760000023382,6.413722900026642
1000000,AgeMIS,3,6.425124000031701,7.684789333344118,9.839650200018466
