N,p,workload,rep,algorithm,throughput,mean_wait,p95_wait,p99_wait,max_wait,jain,pending_end,max_pending_age,runtime_s,hot_p,cold_p
10001,0.2,uniform,0,GRR,1799.6858333333332,0.5560637203808257,1,1,2,0.9970199029162244,1004,1,0.209478095999998,0.2,0.2
10001,0.2,uniform,0,RotatingGreedy,1912.2133333333334,0.22910013527082054,1,2,7,0.9967670001138288,433,5,0.24831249699997215,0.2,0.2
10001,0.2,uniform,0,AgeMIS,1912.12,0.22999951188558598,1,1,4,0.9968313747314602,426,2,0.27716544300000123,0.2,0.2
10001,0.2,uniform,0,GuardedFill,1905.5,0.2477538703752296,1,1,2,0.9968287216788326,458,1,0.26772401499999887,0.2,0.2
10001,0.2,uniform,1,GRR,1799.9741666666666,0.5549709278235012,1,1,2,0.9970647077084669,1004,1,0.20510986700003286,0.2,0.2
10001,0.2,uniform,1,RotatingGreedy,1911.9716666666666,0.22899485086511917,1,2,9,0.9968094423863454,425,4,0.2500658359999761,0.2,0.2
10001,0.2,uniform,1,AgeMIS,1911.9475,0.2299304766475021,1,1,4,0.9968719103900202,425,2,0.2829398510000374,0.2,0.2
10001,0.2,uniform,1,GuardedFill,1905.3666666666666,0.24784337222931718,1,1,2,0.996854129938653,453,1,0.272054608000019,0.2,0.2
10001,0.2,uniform,2,GRR,1799.8341666666668,0.5561512380075757,1,1,2,0.9970695321177732,1003,1,0.21007861700002195,0.2,0.2
10001,0.2,uniform,2,RotatingGreedy,1911.98,0.23001809642360277,1,2,7,0.996818905579216,443,4,0.26061910599997873,0.2,0.2
10001,0.2,uniform,2,AgeMIS,1911.6841666666667,0.2309704226770374,1,1,4,0.9968541158136858,447,2,0.28034269599999107,0.2,0.2
10001,0.2,uniform,2,GuardedFill,1905.1375,0.2484763785641019,1,1,2,0.9968596179119513,467,1,0.271671423999976,0.2,0.2
10001,0.2,uniform,3,GRR,1798.8966666666668,0.5554886421121095,1,1,2,0.9970450283232143,978,1,0.21015198700001747,0.2,0.2
10001,0.2,uniform,3,RotatingGreedy,1911.1041666666667,0.22940664755322512,1,2,7,0.9967772351261781,408,3,0.25562798699996847,0.2,0.2
10001,0.2,uniform,3,AgeMIS,1910.6858333333332,0.2301333334496383,1,1,4,0.9968219774246585,417,2,0.28136438799998587,0.2,0.2
10001,0.2,uniform,3,GuardedFill,1904.0275,0.24761941025886794,1,1,2,0.9968579808525799,433,1,0.279862842,0.2,0.2
10001,0.2,uniform,4,GRR,1800.3283333333334,0.5554880267210518,1,1,2,0.9970402247804021,992,1,0.2200544760000298,0.2,0.2
10001,0.2,uniform,4,RotatingGreedy,1911.9308333333333,0.22983310501556672,1,2,7,0.9967660371135547,426,4,0.2711069979999934,0.2,0.2
10001,0.2,uniform,4,AgeMIS,1911.59,0.230510552297651,1,1,5,0.9968249991233132,426,2,0.28653419899995924,0.2,0.2
