N,p,workload,GRR_throughput,GF_throughput,AgeMIS_throughput,GF_recovery_fraction_of_AgeMIS_gain,GF_gap_to_AgeMIS_percent,GRR_max_wait,GF_max_wait,AgeMIS_max_wait
101,0.05,hotspot,4.7916944444444445,4.9597500000000005,4.963444444444445,0.978489406437006,0.07443307738801012,2,2,3
101,0.05,uniform,4.915777777777778,5.030694444444444,5.030916666666666,0.9980699638118242,0.004417131845857813,2,2,2
101,0.2,hotspot,16.075472222222224,16.683666666666667,16.77311111111111,0.8717897670714735,0.5332609070072352,2,2,7
101,0.2,uniform,18.089027777777776,19.211388888888887,19.27436111111111,0.9468738282714668,0.3267149653324678,2,2,3
101,0.4,hotspot,30.493916666666664,31.851694444444444,32.15847222222222,0.815699886522929,0.9539563187513248,2,2,6
101,0.4,uniform,32.191472222222224,33.625416666666666,33.99883333333333,0.7933912241604559,1.0983220012451325,2,2,5
1001,0.05,hotspot,47.58580555555556,49.12383333333333,49.18997222222222,0.958770562770564,0.13445604032890146,2,2,4
1001,0.05,uniform,48.805527777777776,49.92652777777778,49.930277777777775,0.9966659257612833,0.007510472937255686,2,2,2
1001,0.2,hotspot,160.11891666666665,165.7541111111111,165.83705555555557,0.9854945033591872,0.05001562778994978,2,2,5
1001,0.2,uniform,180.04174999999998,190.6628888888889,191.30730555555553,0.942797613176844,0.3368489586925394,2,2,4
1001,0.4,hotspot,303.3301111111111,316.1071944444444,318.5749166666666,0.8381270122974525,0.7746128439874028,2,2,5
1001,0.4,uniform,320.1645,333.2391666666667,336.62763888888884,0.7941782399400714,1.0065935861376494,2,2,6
